,Unnamed: 0,Time Serie,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,AUS_pct,SWTZ_pct,AUS_CDF,SWTZ_CDF
0,0,2000-01-03,1.5172,0.9847,1.9033,0.6146,1.805,1.4465,8.2798,7.7765,43.55,1128.0,9.4015,6.126,1.6563,7.329,101.7,3.8,7.964,8.443,72.3,1.5808,31.38,36.97,,,,
1,1,2000-01-04,1.5239,0.97,1.9238,0.6109,1.8405,1.4518,8.2799,7.7775,43.55,1122.5,9.457,6.085,1.6535,7.218,103.09,3.8,7.934,8.36,72.65,1.5565,30.6,37.13,0.4416029528077958,-1.5371963562753055,0.4416029528077958,-1.5371963562753055
2,2,2000-01-05,1.5267,0.9676,1.9339,0.6092,1.856,1.4518,8.2798,7.778,43.55,1135.0,9.535,6.07,1.656,7.208,103.77,3.8,7.935,8.353,72.95,1.5526,30.8,37.1,0.18373909049149706,-0.2505621586893714,0.6253420432992929,-1.7877585149646769
3,3,2000-01-06,1.5291,0.9686,1.9436,0.607,1.84,1.4571,8.2797,7.7785,43.55,1146.5,9.567,6.08,1.6655,7.2125,105.19,3.8,7.94,8.3675,72.95,1.554,31.75,37.62,0.15720180782079485,0.0901713255184955,0.7825438511200877,-1.6975871894461814
4,4,2000-01-07,1.5272,0.9714,1.938,0.6104,1.831,1.4505,8.2794,7.7783,43.55,1138.0,9.52,6.057,1.6625,7.2285,105.17,3.8,7.966,8.415,73.15,1.5623,30.85,37.3,-0.12425609835851059,0.5341055341055334,0.6582877527615771,-1.163481655340648
5,5,2000-01-10,1.5242,0.9754,1.935,0.6107,1.819,1.4568,8.2794,7.7785,43.55,1133.5,9.445,6.0765,1.6618,7.254,105.28,3.8,8.024,8.449,73.3,1.5704,30.83,37.27,-0.19643792561550022,0.5184663636945475,0.4618498271460769,-0.6450152916461005
6,6,2000-01-11,1.5209,0.9688,1.9365,0.6068,1.8225,1.457,8.2795,7.7785,43.6,1147.0,9.4825,6.09,1.669,7.214,106.09,3.8,7.969,8.397,73.35,1.5605,30.83,37.61,-0.21650702007610656,-0.630412633723898,0.24534280706997036,-1.2754279253699985
7,7,2000-01-12,1.5202,0.9727,1.9286,0.6073,1.835,1.455,8.2796,7.7787,43.6,1144.5,9.515,6.0685,1.669,7.236,105.76,3.8,7.977,8.418,73.35,1.566,30.8,37.54,-0.04602537970938014,0.3524511374559447,0.19931742736059022,-0.9229767879140538
8,8,2000-01-13,1.4954,0.9737,1.9084,0.6067,1.814,1.4495,8.2798,7.7788,43.55,1135.5,9.51,6.057,1.67,7.252,106.09,3.8,7.9425,8.417,73.35,1.5707,30.8,37.49,-1.631364294171811,0.30012771392080584,-1.4320468668112207,-0.622849073993248
9,9,2000-01-14,1.5004,0.9874,1.9186,0.6115,1.805,1.4497,8.2797,7.7789,43.55,1125.0,9.455,6.075,1.6752,7.347,105.86,3.8,7.997,8.474,73.35,1.5945,30.83,37.55,0.33435870001337076,1.5152479786082695,-1.09768816679785,0.8923989046150216
